timestamp,query,found_chunks,response_len,is_successful,sources
2026-05-22T18:25:08.247355,Кто такой Kael?,True,256,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:26:08.965136,Как звали брата Kael?,True,189,True,Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md; Kael_Karradine.md
2026-05-22T18:27:36.095016,Как звали отца Kael и Rovan?,True,260,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:29:01.072418,Какими способами умирал Kael?,True,561,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:31:23.528457,С чего начинается завязка сериала?,True,255,True,Aurelian.md; Sundered_Aethros.md; Sundered_Aethros.md; Sundered_Aethros.md
2026-05-22T18:32:10.097785,Что означает имя Kael?,True,350,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:33:06.586414,Кто такой Rovan?,True,319,True,Nethergloom.md; Nethergloom.md; Nethergloom.md; Solenthars_Vault.md
2026-05-22T18:33:59.887274,Какого цвета Vanguard?,True,266,True,Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md
2026-05-22T18:34:44.669430,Что такое Vanguard?,True,434,True,Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md
2026-05-22T18:35:47.965208,Где родился Kael?,True,462,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:36:32.510374,Кто такой Kael?,True,233,True,Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; ./knowledge_base_anon/Kael_Karradine.md; Kael_Karradine.md
2026-05-22T18:37:12.970818,О чем Karradines?,True,334,True,Tomar_Karradine.md; Tomar_Karradine.md; Tomar_Karradine.md; Aethros_Chronicles_Wiki.md
